Institution,Control,City,State
University of Houston,Public,Houston,TX
University of North Texas,Public,Denton,TX
University of Texas at Arlington,Public,Arlington,TX
University of Texas at Austin,Public,Austin,TX
University of Texas at Dallas,Public,Richardson,TX
University of Texas at El Paso,Public,El Paso,TX
University of Texas at San Antonio,Public,San Antonio,TX
University of Utah,Public,Salt Lake City,UT
Utah State University,Public,Logan,UT
George Mason University,Public,Fairfax[e],VA
Old Dominion University,Public,Norfolk,VA
University of Virginia,Public,Charlottesville,VA
Virginia Commonwealth University,Public,Richmond,VA
Virginia Tech,Public,Blacksburg,VA
University of Washington,Public,Seattle,WA
Washington State University,Public,Pullman,WA
University of Wisconsin–Madison,Public,Madison,WI
University of Wisconsin–Milwaukee,Public,Milwaukee,WI
West Virginia University,Public,Morgantown,WV
